"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"11194",6070015200,"2/3",2012,"G8967","ren25","Characidium pterostictum",3,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11195",6070015200,"2/3",2012,"G8967","ren25","Epactionotus bilineatus",17,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11196",6070015200,"2/3",2012,"G8967","ren25","Jenynsia unitaenia",3,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11197",6070015200,"2/3",2012,"G8967","ren25","Pareiorhaphis hypselurus",8,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11198",6070015200,"2/3",2012,"G8967","ren25","Pareiorhaphis nudulus",2,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11199",6070015200,"2/3",2012,"G8967","ren25","Peckoltia multispinis",1,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11200",6070015200,"2/3",2012,"G8967","ren25","Rineloricaria aequalicuspis",52,"Count",37,"S1940","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","CERRITO",-29.5105,-50.3101,22,"J",3,3
"11277",6070015200,"2/3",2012,"G8957","ren36","Astyanax laticeps",1,"Count",37,"S7866","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51356,-50.24998,22,"J",1,1
"11278",6070015200,"2/3",2012,"G8957","ren36","Characidium pterostictum",1,"Count",37,"S7866","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51356,-50.24998,22,"J",1,1
"11279",6070015200,"2/3",2012,"G8957","ren36","Epactionotus bilineatus",4,"Count",37,"S7866","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51356,-50.24998,22,"J",1,1
"11280",6070015200,"2/3",2012,"G8957","ren36","Pareiorhaphis hypselurus",18,"Count",37,"S7866","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51356,-50.24998,22,"J",1,1
"11281",6070015200,"2/3",2012,"G8957","ren36","Pareiorhaphis nudulus",1,"Count",37,"S7866","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51356,-50.24998,22,"J",1,1
"11282",6070015200,"2/3",2012,"G8957","ren36","Rineloricaria aequalicuspis",6,"Count",37,"S7866","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51356,-50.24998,22,"J",1,1
"11266",6070015200,"2/3",2012,"G8955","ren34","Epactionotus bilineatus",4,"Count",37,"S6927","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.50424,-50.23996,22,"J",1,1
"11267",6070015200,"2/3",2012,"G8955","ren34","Pareiorhaphis hypselurus",42,"Count",37,"S6927","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.50424,-50.23996,22,"J",1,1
"11268",6070015200,"2/3",2012,"G8955","ren34","Pareiorhaphis nudulus",107,"Count",37,"S6927","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.50424,-50.23996,22,"J",1,1
"11269",6070015200,"2/3",2012,"G8955","ren34","Rineloricaria aequalicuspis",6,"Count",37,"S6927","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.50424,-50.23996,22,"J",1,1
"11270",6070015200,"2/3",2012,"G8956","ren35","Characidium pterostictum",7,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11271",6070015200,"2/3",2012,"G8956","ren35","Epactionotus bilineatus",9,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11272",6070015200,"2/3",2012,"G8956","ren35","Jenynsia unitaenia",1,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11273",6070015200,"2/3",2012,"G8956","ren35","Pareiorhaphis hypselurus",10,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11274",6070015200,"2/3",2012,"G8956","ren35","Pareiorhaphis nudulus",25,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11275",6070015200,"2/3",2012,"G8956","ren35","Rineloricaria aequalicuspis",7,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11276",6070015200,"2/3",2012,"G8956","ren35","Rineloricaria maquinensis",1,"Count",37,"S7428","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","GARAPIA",-29.51365,-50.24836,22,"J",1,1
"11321",6070015200,"2/3",2012,"G8965","ren43","Characidium pterostictum",2,"Count",37,"S9316","Dipnetting","Neotropics",6080015200,"BRA","RIO GRANDE DO SUL","MAQUINE","SEM NOME",-29.55105,-50.31666,22,"J",1,1
