"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"11367",6070709820,"2/3",2013,"G82","alt61","Aspidoras fuscoguttatus",4,"Count",2,"S12851","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","POPULINA","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-19.97309,-50.44775,22,"K",3,1
"11368",6070709820,"2/3",2013,"G82","alt61","Astyanax lacustris",2,"Count",2,"S12851","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","POPULINA","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-19.97309,-50.44775,22,"K",3,1
"11369",6070709820,"2/3",2013,"G82","alt61","Gymnotus sylvius",1,"Count",2,"S12851","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","POPULINA","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-19.97309,-50.44775,22,"K",3,1
"11370",6070709820,"2/3",2013,"G82","alt61","Knodus moenkhausii",9,"Count",2,"S12851","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","POPULINA","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-19.97309,-50.44775,22,"K",3,1
"11371",6070709820,"2/3",2013,"G82","alt61","Laetacara araguaiae",6,"Count",2,"S12851","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","POPULINA","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-19.97309,-50.44775,22,"K",3,1
"11372",6070709820,"2/3",2013,"G82","alt61","Pyrrhulina australis",4,"Count",2,"S12851","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","POPULINA","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-19.97309,-50.44775,22,"K",3,1
"11437",6070709820,"2/3",2013,"G91","alt70","Astyanax lacustris",276,"Count",2,"S12860","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MESOPOLIS","UNNAMED TRIBUTARY CORREGO DO ARARA",-19.9912,-50.62257,22,"K",1,1
"11438",6070709820,"2/3",2013,"G91","alt70","Cichlasoma paranaense",18,"Count",2,"S12860","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MESOPOLIS","UNNAMED TRIBUTARY CORREGO DO ARARA",-19.9912,-50.62257,22,"K",1,1
"11439",6070709820,"2/3",2013,"G91","alt70","Gymnotus sylvius",2,"Count",2,"S12860","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MESOPOLIS","UNNAMED TRIBUTARY CORREGO DO ARARA",-19.9912,-50.62257,22,"K",1,1
"11440",6070709820,"2/3",2013,"G91","alt70","Hoplias malabaricus",5,"Count",2,"S12860","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MESOPOLIS","UNNAMED TRIBUTARY CORREGO DO ARARA",-19.9912,-50.62257,22,"K",1,1
"11441",6070709820,"2/3",2013,"G91","alt70","Satanoperca pappaterra",27,"Count",2,"S12860","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MESOPOLIS","UNNAMED TRIBUTARY CORREGO DO ARARA",-19.9912,-50.62257,22,"K",1,1
"11442",6070709820,"2/3",2013,"G91","alt70","Serrapinnus notomelas",79,"Count",2,"S12860","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MESOPOLIS","UNNAMED TRIBUTARY CORREGO DO ARARA",-19.9912,-50.62257,22,"K",1,1
"11464",6070709820,"2/3",2013,"G94","alt73","Aspidoras fuscoguttatus",35,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11465",6070709820,"2/3",2013,"G94","alt73","Astyanax lacustris",44,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11466",6070709820,"2/3",2013,"G94","alt73","Corydoras aeneus",206,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11467",6070709820,"2/3",2013,"G94","alt73","Geophagus brasiliensis",31,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11468",6070709820,"2/3",2013,"G94","alt73","Gymnotus sylvius",21,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11469",6070709820,"2/3",2013,"G94","alt73","Hoplias malabaricus",2,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11470",6070709820,"2/3",2013,"G94","alt73","Hypostomus ancistroides",26,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11471",6070709820,"2/3",2013,"G94","alt73","Knodus moenkhausii",44,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11472",6070709820,"2/3",2013,"G94","alt73","Oligosarcus pintoi",6,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11473",6070709820,"2/3",2013,"G94","alt73","Poecilia reticulata",978,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11474",6070709820,"2/3",2013,"G94","alt73","Rhamdia quelen",42,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
"11475",6070709820,"2/3",2013,"G94","alt73","Serrapinnus notomelas",3,"Count",2,"S12863","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA CLARA DO OESTE","CORREGO DO CONTRA",-20.07965,-50.94168,22,"K",1,1
