"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"9733",2070469050,"4",2003,"G8459","one28916","Cottus gobio",23,"Count",32,"S77","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","LAUCH",47.92344,7.196836992,32,"T",2,2
"9734",2070469050,"4",2003,"G8459","one28916","Salmo trutta",111,"Count",32,"S77","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","LAUCH",47.92344,7.196836992,32,"T",2,2
"9763",2070469050,"4",2003,"G8205","one30891","Barbatula barbatula",1,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9764",2070469050,"4",2003,"G8205","one30891","Gasterosteus aculeatus",2,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9765",2070469050,"4",2003,"G8205","one30891","Gobio gobio",10,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9766",2070469050,"4",2003,"G8205","one30891","Phoxinus phoxinus",277,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9767",2070469050,"4",2003,"G8205","one30891","Rutilus rutilus",2,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9768",2070469050,"4",2003,"G8205","one30891","Salmo trutta",3,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9769",2070469050,"4",2003,"G8205","one30891","Squalius cephalus",483,"Count",32,"S70","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","THUR",47.82727,7.264912965,32,"T",3,3
"9783",2070469050,"4",2003,"G7455","one3647","Salmo trutta",2,"Count",32,"S192","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74891,7.268507926,32,"T",3,3
"9770",2070469050,"4",2003,"G8215","one30892","Alburnoides bipunctatus",32,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9771",2070469050,"4",2003,"G8215","one30892","Barbatula barbatula",567,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9772",2070469050,"4",2003,"G8215","one30892","Cottus gobio",50,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9773",2070469050,"4",2003,"G8215","one30892","Gasterosteus aculeatus",9,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9774",2070469050,"4",2003,"G8215","one30892","Gobio gobio",54,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9775",2070469050,"4",2003,"G8215","one30892","Phoxinus phoxinus",202,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9776",2070469050,"4",2003,"G8215","one30892","Salmo salar",53,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9777",2070469050,"4",2003,"G8215","one30892","Salmo trutta",8,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9778",2070469050,"4",2003,"G8215","one30892","Squalius cephalus",10,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9779",2070469050,"4",2003,"G8215","one30892","Thymallus thymallus",7,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9780",2070469050,"4",2003,"G8215","one3158","Salmo salar",1,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
"9781",2070469050,"4",2003,"G8215","one3158","Salmo trutta",1,"Count",32,"S71","Electrofishing_partialsection","Palearctic",2080023010,"FRA","ALSACE","HAUT-RHIN","DOLLER",47.74562,7.232749853,32,"T",3,3
