"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"1130",2070029790,"3",2010,"G421","fin931","Alburnus alburnus",0.51,"Ind.100m2",7,"S11760","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.98083,25.66175,35,"V",1,1
"1131",2070029790,"3",2010,"G421","fin931","Barbatula barbatula",8.673,"Ind.100m2",7,"S11760","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.98083,25.66175,35,"V",1,1
"1132",2070029790,"3",2010,"G421","fin931","Cottus gobio",13.265,"Ind.100m2",7,"S11760","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.98083,25.66175,35,"V",1,1
"1133",2070029790,"3",2010,"G421","fin931","Perca fluviatilis",0.51,"Ind.100m2",7,"S11760","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.98083,25.66175,35,"V",1,1
"1134",2070029790,"3",2010,"G421","fin931","Phoxinus phoxinus",17.347,"Ind.100m2",7,"S11760","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.98083,25.66175,35,"V",1,1
"1135",2070029790,"3",2010,"G421","fin931","Rutilus rutilus",2.551,"Ind.100m2",7,"S11760","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.98083,25.66175,35,"V",1,1
"1122",2070029790,"3",2010,"G313","fin930","Alburnus alburnus",1.176,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1123",2070029790,"3",2010,"G313","fin930","Barbatula barbatula",2.353,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1124",2070029790,"3",2010,"G313","fin930","Cottus gobio",12.941,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1125",2070029790,"3",2010,"G313","fin930","Esox lucius",0.588,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1126",2070029790,"3",2010,"G313","fin930","Lota lota",0.588,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1127",2070029790,"3",2010,"G313","fin930","Perca fluviatilis",2.353,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1128",2070029790,"3",2010,"G313","fin930","Phoxinus phoxinus",1.176,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1129",2070029790,"3",2010,"G313","fin930","Rutilus rutilus",2.353,"Ind.100m2",7,"S8662","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","KARSAMAENJOKI",63.95448,25.79796,35,"V",3,3
"1142",2070029790,"3",2010,"G458","fin933","Alburnus alburnus",0.476,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1143",2070029790,"3",2010,"G458","fin933","Barbatula barbatula",11.905,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1144",2070029790,"3",2010,"G458","fin933","Esox lucius",1.429,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1145",2070029790,"3",2010,"G458","fin933","Perca fluviatilis",0.476,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1146",2070029790,"3",2010,"G458","fin933","Phoxinus phoxinus",1.905,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1147",2070029790,"3",2010,"G458","fin933","Rutilus rutilus",0.476,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1148",2070029790,"3",2010,"G458","fin933","Thymallus thymallus",0.476,"Ind.100m2",7,"S11909","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOEN ALA-JAKESKIOSA",63.95403,25.79291,35,"V",3,3
"1161",2070029790,"3",2010,"G590","fin937","Alburnus alburnus",0.5,"Ind.100m2",7,"S12328","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOENYLAOSA",63.95251,25.79902,35,"V",3,3
"1162",2070029790,"3",2010,"G590","fin937","Barbatula barbatula",7,"Ind.100m2",7,"S12328","Electrofishing_backpack","Palearctic",2080029790,"FIN","OULU","NORTHERN OSTROBOTHNIA","PYHAJOENYLAOSA",63.95251,25.79902,35,"V",3,3
