"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"7074",2070161540,"3",2004,"G585","fin2948","Alburnus alburnus",5.797,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7075",2070161540,"3",2004,"G585","fin2948","Barbatula barbatula",7.971,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7076",2070161540,"3",2004,"G585","fin2948","Cottus gobio",15.217,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7077",2070161540,"3",2004,"G585","fin2948","Leuciscus leuciscus",1.449,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7078",2070161540,"3",2004,"G585","fin2948","Perca fluviatilis",2.174,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7079",2070161540,"3",2004,"G585","fin2948","Phoxinus phoxinus",2.174,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7080",2070161540,"3",2004,"G585","fin2948","Rutilus rutilus",14.493,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7081",2070161540,"3",2004,"G585","fin2948","Salmo trutta",3.623,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7082",2070161540,"3",2004,"G585","fin2948","Thymallus thymallus",0.725,"Ind.100m2",7,"S12323","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","NUORITTAJOKI",65.14101,26.67228,35,"W",1,4
"7099",2070161540,"3",2004,"G573","fin2994","Barbatula barbatula",0.826,"Ind.100m2",7,"S12312","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.04035,26.41657,35,"W",4,4
"7100",2070161540,"3",2004,"G573","fin2994","Cottus gobio",17.355,"Ind.100m2",7,"S12312","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.04035,26.41657,35,"W",4,4
"7101",2070161540,"3",2004,"G573","fin2994","Gymnocephalus cernua",0.826,"Ind.100m2",7,"S12312","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.04035,26.41657,35,"W",4,4
"7102",2070161540,"3",2004,"G573","fin2994","Phoxinus phoxinus",8.264,"Ind.100m2",7,"S12312","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.04035,26.41657,35,"W",4,4
"7083",2070161540,"3",2004,"G301","fin2990","Barbatula barbatula",2.424,"Ind.100m2",7,"S7762","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.00171,26.47843,35,"W",1,1
"7084",2070161540,"3",2004,"G301","fin2990","Cottus gobio",8.485,"Ind.100m2",7,"S7762","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.00171,26.47843,35,"W",1,1
"7085",2070161540,"3",2004,"G301","fin2990","Leuciscus leuciscus",0.606,"Ind.100m2",7,"S7762","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.00171,26.47843,35,"W",1,1
"7086",2070161540,"3",2004,"G301","fin2990","Phoxinus phoxinus",42.424,"Ind.100m2",7,"S7762","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.00171,26.47843,35,"W",1,1
"7087",2070161540,"3",2004,"G301","fin2990","Salmo salar",1.212,"Ind.100m2",7,"S7762","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.00171,26.47843,35,"W",1,1
"7088",2070161540,"3",2004,"G301","fin2990","Thymallus thymallus",1.818,"Ind.100m2",7,"S7762","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",65.00171,26.47843,35,"W",1,1
"7092",2070161540,"3",2004,"G441","fin2993","Barbatula barbatula",3.509,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7093",2070161540,"3",2004,"G441","fin2993","Cottus gobio",15.789,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7094",2070161540,"3",2004,"G441","fin2993","Esox lucius",0.585,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7095",2070161540,"3",2004,"G441","fin2993","Lota lota",0.585,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7096",2070161540,"3",2004,"G441","fin2993","Phoxinus phoxinus",37.427,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7097",2070161540,"3",2004,"G441","fin2993","Salmo salar",0.585,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7098",2070161540,"3",2004,"G441","fin2993","Thymallus thymallus",0.585,"Ind.100m2",7,"S11856","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.99581,26.48658,35,"W",1,1
"7056",2070161540,"3",2004,"G373","fin2731","Cottus gobio",14.815,"Ind.100m2",7,"S10705","Electrofishing_backpack","Palearctic",2080029940,"FIN","OULU","NORTHERN OSTROBOTHNIA","KIIMINKIJOENYLAOSA",64.95395,27.22531,35,"W",1,1
