"HYBAS_ID","Quarter.x","UnitAbundance","Year","TimeSeriesID","SurveyID","Species","Abundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2","dis_m3_pyr","ele_mt_cav","tmp_dc_cyr","pre_mm_cyr","hft_ix_c","CSI","CSI_FF2"
"11001",7070360890,"3","Count",2000,"G1747","mon79","Oncorhynchus clarkii",16,25,"S6233","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.12195,-113.1457,12,"TRUE",2,2,1.606,1597,37,506,13,99.985,1
"2902",7070360890,"3","Count",2000,"G1747","mon79","Salvelinus confluentus",65,25,"S6233","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.12195,-113.1457,12,"TRUE",2,2,1.606,1597,37,506,13,99.985,1
"3101",7070360890,"3","Count",2000,"G1747","mon79","Salvelinus fontinalis",45,25,"S6233","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.12195,-113.1457,12,"TRUE",2,2,1.606,1597,37,506,13,99.985,1
"4101",7070360890,"3","Count",2000,"G1749","mon115","Oncorhynchus mykiss",1,25,"S6321","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.08286,-113.1707,12,"TRUE",3,3,2.602,1376,46,462,13,99.985,1
"5101",7070360890,"3","Count",2000,"G1749","mon115","Salmo trutta",4,25,"S6321","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.08286,-113.1707,12,"TRUE",3,3,2.602,1376,46,462,13,99.985,1
"6101",7070360890,"3","Count",2000,"G1749","mon115","Salvelinus confluentus",13,25,"S6321","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.08286,-113.1707,12,"TRUE",3,3,2.602,1376,46,462,13,99.985,1
"7101",7070360890,"3","Count",2000,"G1749","mon115","Salvelinus fontinalis",56,25,"S6321","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.08286,-113.1707,12,"TRUE",3,3,2.602,1376,46,462,13,99.985,1
"8101",7070360890,"3","Count",2000,"G1756","mon152","Oncorhynchus clarkii",14,25,"S6373","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.05927,-113.1875,12,"TRUE",3,3,3.089,1245,50,427,27,100,1
"9101",7070360890,"3","Count",2000,"G1756","mon152","Salmo trutta",19,25,"S6373","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.05927,-113.1875,12,"TRUE",3,3,3.089,1245,50,427,27,100,1
"10101",7070360890,"3","Count",2000,"G1756","mon152","Salvelinus fontinalis",14,25,"S6373","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.05927,-113.1875,12,"TRUE",3,3,3.089,1245,50,427,27,100,1
"11101",7070360890,"3","Count",2000,"G1743","mon46","Oncorhynchus clarkii",59,25,"S6159","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MCCABE CREEK",47.09294,-113.1231,12,"TRUE",1,1,0.405,1615,35,498,17,100,1
"12101",7070360890,"3","Count",2000,"G1743","mon46","Salvelinus fontinalis",1,25,"S6159","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MCCABE CREEK",47.09294,-113.1231,12,"TRUE",1,1,0.405,1615,35,498,17,100,1
"13101",7070360890,"3","Count",2000,"G1746","mon74","Oncorhynchus clarkii",90,25,"S6206","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MCCABE CREEK",47.08259,-113.1367,12,"TRUE",1,1,0.405,1615,35,498,17,100,1
"14101",7070360890,"3","Count",2000,"G1746","mon74","Salvelinus fontinalis",39,25,"S6206","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MCCABE CREEK",47.08259,-113.1367,12,"TRUE",1,1,0.405,1615,35,498,17,100,1
"15",7070360890,"3","Count",2000,"G1740","mon28","Oncorhynchus clarkii",7,25,"S6082","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","WARREN CREEK",47.03064,-113.0667,12,"TRUE",1,1,0.214,1696,33,506,17,100,1
"16",7070360890,"3","Count",2000,"G1740","mon28","Salvelinus fontinalis",108,25,"S6082","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","WARREN CREEK",47.03064,-113.0667,12,"TRUE",1,1,0.214,1696,33,506,17,100,1
"17",7070360890,"3","Count",2000,"G1744","mon66","Salvelinus fontinalis",82,25,"S6195","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","WARREN CREEK",47.0153,-113.1335,12,"TRUE",1,1,0.28,1303,48,425,48,99.929,1
"18",7070360890,"3","Count",2000,"G1758","mon163","Oncorhynchus clarkii",1,25,"S6418","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.04011,-113.2182,12,"TRUE",3,3,3.912,1254,50,426,64,99.8694,1
"19",7070360890,"3","Count",2000,"G1758","mon163","Prosopium williamsoni",1,25,"S6418","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.04011,-113.2182,12,"TRUE",3,3,3.912,1254,50,426,64,99.8694,1
"20",7070360890,"3","Count",2000,"G1758","mon163","Salmo trutta",14,25,"S6418","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.04011,-113.2182,12,"TRUE",3,3,3.912,1254,50,426,64,99.8694,1
"21",7070360890,"3","Count",2000,"G1761","mon182","Oncorhynchus clarkii",1,25,"S6446","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.02185,-113.2312,12,"TRUE",3,3,3.912,1254,50,426,64,99.8694,1
"22",7070360890,"3","Count",2000,"G1761","mon182","Salmo trutta",6,25,"S6446","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MONTURE CREEK",47.02185,-113.2312,12,"TRUE",3,3,3.912,1254,50,426,64,99.8694,1
"23",7070360890,"3","Count",2000,"G1903","mon2216","Oncorhynchus clarkii",55,25,"S5810","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MURPHY SPRING CREEK",47.04397,-113.006,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
"24",7070360890,"3","Count",2000,"G1903","mon2216","Salvelinus fontinalis",1,25,"S5810","Electrofishing_backpack","Nearctic",7080014930,"USA","MONTANA","POWELL","MURPHY SPRING CREEK",47.04397,-113.006,12,"TRUE",3,3,3.988,1561,39,475,11,99.955,1
