"HYBAS_ID","Quarter.x","UnitAbundance","Year","TimeSeriesID","SurveyID","Species","Abundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2","dis_m3_pyr","ele_mt_cav","tmp_dc_cyr","pre_mm_cyr","hft_ix_c","CSI","CSI_FF2"
"4322",2070050470,"3","Ind.100m2",1999,"G3347","nfp8850","Salmo salar",1.136,27,"S9454","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","CAM BROOK",53.9775,-2.679678527,30,"U",2,2,1.973,212,80,1284,190,99.99025,1
"4332",2070050470,"3","Ind.100m2",1999,"G3347","nfp8850","Salmo trutta",64.773,27,"S9454","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","CAM BROOK",53.9775,-2.679678527,30,"U",2,2,1.973,212,80,1284,190,99.99025,1
"4342",2070050470,"3","Ind.100m2",1999,"G3374","nfp9028","Anguilla anguilla",1.603,27,"S9487","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.97839,-2.694910192,30,"U",2,2,1.973,212,80,1284,190,99.99025,1
"4352",2070050470,"3","Ind.100m2",1999,"G3374","nfp9028","Salmo salar",0.641,27,"S9487","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.97839,-2.694910192,30,"U",2,2,1.973,212,80,1284,190,99.99025,1
"4362",2070050470,"3","Ind.100m2",1999,"G3374","nfp9028","Salmo trutta",1.282,27,"S9487","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.97839,-2.694910192,30,"U",2,2,1.973,212,80,1284,190,99.99025,1
"4372",2070050470,"3","Ind.100m2",1999,"G3252","nfp8082","Salmo trutta",48,27,"S9333","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","MARSHAW WYRE",53.97887,-2.602227053,30,"U",1,1,0.529,275,78,1358,178,99.85195,1
"4702",2070050470,"3","Ind.100m2",1999,"G3428","nfp9335","Anguilla anguilla",4.444,27,"S9548","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.97065,-2.736033856,30,"U",2,2,2.187,95,86,1163,255,99.87335,1
"4719",2070050470,"3","Ind.100m2",1999,"G3428","nfp9335","Salmo salar",2.889,27,"S9548","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.97065,-2.736033856,30,"U",2,2,2.187,95,86,1163,255,99.87335,1
"4722",2070050470,"3","Ind.100m2",1999,"G3428","nfp9335","Salmo trutta",5.778,27,"S9548","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.97065,-2.736033856,30,"U",2,2,2.187,95,86,1163,255,99.87335,1
"5431",2070050470,"3","Ind.100m2",1999,"G3450","nfp9479","Salmo salar",0.8,27,"S9574","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.95389,-2.749620947,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5441",2070050470,"3","Ind.100m2",1999,"G3450","nfp9479","Salmo trutta",7.6,27,"S9574","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.95389,-2.749620947,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5451",2070050470,"3","Ind.100m2",1999,"G3470","nfp9648","Salmo salar",3.412,27,"S9607","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.94724,-2.758308383,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5461",2070050470,"3","Ind.100m2",1999,"G3470","nfp9648","Salmo trutta",1.882,27,"S9607","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.94724,-2.758308383,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5471",2070050470,"3","Ind.100m2",1999,"G3479","nfp9741","Anguilla anguilla",9.398,27,"S9620","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.92582,-2.764437736,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5481",2070050470,"3","Ind.100m2",1999,"G3479","nfp9741","Salmo salar",7.425,27,"S9620","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.92582,-2.764437736,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5491",2070050470,"3","Ind.100m2",1999,"G3479","nfp9741","Salmo trutta",0.658,27,"S9620","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.92582,-2.764437736,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5501",2070050470,"3","Ind.100m2",1999,"G3484","nfp9780","Salmo salar",4.8,27,"S9626","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.90893,-2.765255562,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5518",2070050470,"3","Ind.100m2",1999,"G3484","nfp9780","Salmo trutta",3.6,27,"S9626","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.90893,-2.765255562,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5521",2070050470,"3","Ind.100m2",1999,"G3492","nfp9856","Anguilla anguilla",7.102,27,"S9636","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.93401,-2.769232984,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5531",2070050470,"3","Ind.100m2",1999,"G3492","nfp9856","Salmo salar",1.989,27,"S9636","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.93401,-2.769232984,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5541",2070050470,"3","Ind.100m2",1999,"G3499","nfp9905","Salmo salar",1.426,27,"S9644","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.89786,-2.77426035,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5551",2070050470,"3","Ind.100m2",1999,"G3499","nfp9905","Salmo trutta",0.446,27,"S9644","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.89786,-2.77426035,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5561",2070050470,"3","Ind.100m2",1999,"G3499","nfp9905","Squalius cephalus",1.07,27,"S9644","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER WYRE",53.89786,-2.77426035,30,"U",2,2,3.104,66,87,1111,319,99.6733,1
"5571",2070050470,"3","Ind.100m2",1999,"G3475","nfp9690","Anguilla anguilla",44.444,27,"S9614","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER CALDER",53.8836,-2.763773476,30,"U",2,2,0.815,21,90,1047,409,99.7941,1
"5581",2070050470,"3","Ind.100m2",1999,"G3475","nfp9690","Salmo salar",4.444,27,"S9614","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER CALDER",53.8836,-2.763773476,30,"U",2,2,0.815,21,90,1047,409,99.7941,1
"5591",2070050470,"3","Ind.100m2",1999,"G3475","nfp9690","Salmo trutta",6.222,27,"S9614","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","RIVER CALDER",53.8836,-2.763773476,30,"U",2,2,0.815,21,90,1047,409,99.7941,1
"5931",2070050470,"3","Ind.100m2",1999,"G3516","nfp10038","Anguilla anguilla",12.245,27,"S9660","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","NEW DRAUGHT",53.83697,-2.79293709,30,"U",1,1,0.606,40,90,1053,366,99.69365,1
"5941",2070050470,"3","Ind.100m2",1999,"G3516","nfp10038","Leuciscus leuciscus",4.082,27,"S9660","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","NEW DRAUGHT",53.83697,-2.79293709,30,"U",1,1,0.606,40,90,1053,366,99.69365,1
"5951",2070050470,"3","Ind.100m2",1999,"G3516","nfp10038","Platichthys flesus",12.245,27,"S9660","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","NEW DRAUGHT",53.83697,-2.79293709,30,"U",1,1,0.606,40,90,1053,366,99.69365,1
"5961",2070050470,"3","Ind.100m2",1999,"G3516","nfp10038","Salmo trutta",1.224,27,"S9660","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","NEW DRAUGHT",53.83697,-2.79293709,30,"U",1,1,0.606,40,90,1053,366,99.69365,1
"5971",2070050470,"3","Ind.100m2",1999,"G3516","nfp10038","Squalius cephalus",2.449,27,"S9660","Electrofishing","Palearctic",2080050470,"GBR","ENGLAND","LANCASHIRE","NEW DRAUGHT",53.83697,-2.79293709,30,"U",1,1,0.606,40,90,1053,366,99.69365,1
"8161",2070053410,"4","Ind.100m2",1985,"G4046","nfp13453","Gasterosteus aculeatus",0.504,27,"S1820","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.34735,-0.676557886,30,"U",1,1,0.272,21,95,597,267,99.845,1
"8171",2070053410,"4","Ind.100m2",1985,"G4046","nfp13453","Phoxinus phoxinus",0.315,27,"S1820","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.34735,-0.676557886,30,"U",1,1,0.272,21,95,597,267,99.845,1
"8317",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Abramis brama",0.038,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8321",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Anguilla anguilla",0.307,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8331",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Blicca bjoerkna",0.038,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8341",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Esox lucius",0.192,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8351",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Gobio gobio",0.038,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8361",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Leuciscus leuciscus",0.038,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8371",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Rutilus rutilus",2.766,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"8381",2070053410,"4","Ind.100m2",1985,"G3834","nfp12300","Scardinius erythrophthalmus",0.038,27,"S1684","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER TILL",53.30647,-0.638801284,30,"U",2,2,1.151,10,96,588,267,99.815,1
"9061",2070053410,"4","Ind.100m2",1985,"G3552","nfp10320","Abramis brama",0.039,27,"S1560","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER WITHAM",53.15669,-0.591198233,30,"U",3,3,6.851,26,95,586,330,98.35672,2
"9071",2070053410,"4","Ind.100m2",1985,"G3552","nfp10320","Anguilla anguilla",18.831,27,"S1560","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER WITHAM",53.15669,-0.591198233,30,"U",3,3,6.851,26,95,586,330,98.35672,2
"9081",2070053410,"4","Ind.100m2",1985,"G3552","nfp10320","Barbatula barbatula",0.02,27,"S1560","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER WITHAM",53.15669,-0.591198233,30,"U",3,3,6.851,26,95,586,330,98.35672,2
