"HYBAS_ID","median"
"1","2070021230",471.5
"2","2070021360",393
"3","2070469050",238.5
"4","2070470930",293
"5","2070513970",101
"6","5070070110",113
"7","5070070390",336
"8","5070070440",194
"9","5070070450",324
"10","5070468810",91.5
"11","6070015200",114
"12","6070709820",113
"13","6070713620",95.5
"14","7070042610",201
"15","7070317870",219
"16","7070327640",65
"17","7070360890",74
"18","7070415980",117.5
"19","7070450470",81
"20","7070451570",147
"21","7070453370",90.5
"22","7070620210",306
"23","7070630060",425
"24","7070642870",352
"25","7070643030",228
"26","7070647250",262
"27","7070647350",231
"28","7070648760",424.5
"29","7070651920",156.5
"30","7070656320",341
"31","7070663220",385
"32","7070684690",169
